 ZONE i=321, j=33
 0.23935168E+02, 0.00000000E+00
 0.24075970E+02, 0.00000000E+00
 0.24226073E+02, 0.00000000E+00
 0.24385831E+02, 0.00000000E+00
 0.24555573E+02, 0.00000000E+00
 0.24735591E+02, 0.00000000E+00
 0.24926137E+02, 0.00000000E+00
 0.25127412E+02, 0.00000000E+00
 0.25339558E+02, 0.00000000E+00
 0.25562651E+02, 0.00000000E+00
 0.25796691E+02, 0.00000000E+00
 0.26041595E+02, 0.00000000E+00
 0.26297191E+02, 0.00000000E+00
 0.26563211E+02, 0.00000000E+00
 0.26839285E+02, 0.00000000E+00
 0.27124941E+02, 0.00000000E+00
 0.27419601E+02, 0.00000000E+00
 0.27722584E+02, 0.00000000E+00
 0.28033107E+02, 0.00000000E+00
 0.28350293E+02, 0.00000000E+00
 0.28673177E+02, 0.00000000E+00
 0.29000719E+02, 0.00000000E+00
 0.29331813E+02, 0.00000000E+00
 0.29665303E+02, 0.00000000E+00
 0.30000000E+02, 0.00000000E+00
 0.00000000E+00, 0.32678718E+00
 0.79553127E-01, 0.32678718E+00
 0.15911293E+00, 0.32678718E+00
 0.23867938E+00, 0.32678718E+00
 0.31825247E+00, 0.32678718E+00
 0.39783216E+00, 0.32678718E+00
 0.47741844E+00, 0.32678718E+00
 0.55701129E+00, 0.32678718E+00
 0.63661067E+00, 0.32678718E+00
 0.71621657E+00, 0.32678718E+00
 0.79582896E+00, 0.32678718E+00
 0.87544783E+00, 0.32678718E+00
 0.95507315E+00, 0.32678718E+00
 0.10347049E+01, 0.32678718E+00
 0.11143430E+01, 0.32678718E+00
 0.11939876E+01, 0.32678718E+00
 0.12736385E+01, 0.32678718E+00
 0.13532957E+01, 0.32678718E+00
 0.14329592E+01, 0.32678718E+00
 0.15126291E+01, 0.32678718E+00
 0.15923052E+01, 0.32678718E+00
 0.16719875E+01, 0.32678718E+00
 0.17516761E+01, 0.32678718E+00
 0.18313709E+01, 0.32678718E+00
 0.19110718E+01, 0.32678718E+00
 0.19907790E+01, 0.32678718E+00
 0.20704922E+01, 0.32678718E+00
 0.21502116E+01, 0.32678718E+00
 0.22299370E+01, 0.32678718E+00
 0.23096685E+01, 0.32678718E+00
 0.23894061E+01, 0.32678718E+00
 0.24691496E+01, 0.32678718E+00
 0.25488992E+01, 0.32678718E+00
 0.26286547E+01, 0.32678718E+00
 0.27084162E+01, 0.32678718E+00
 0.27881836E+01, 0.32678718E+00
